timecard_id,project_id,employee,date,hours,cost_code,approved_flag
TC-90056,P-105,R. Singh,2026-04-15,4.4,01-100,true
TC-90057,P-105,P. O'Neill,2026-04-15,11.8,05-100,true
TC-90058,P-105,P. O'Neill,2026-04-21,9.2,22-000,false
TC-90059,P-105,S. Fontaine,2026-04-11,8.3,02-300,true
TC-90060,P-106,M. Ibrahim,2026-04-13,6.1,16-100,false
TC-90061,P-106,C. Vance,2026-04-16,7.1,06-100,true
TC-90062,P-106,D. Kowalski,2026-04-11,6,07-500,true
TC-90063,P-106,L. Brooks,2026-04-19,6.4,03-300,false
TC-90064,P-106,R. Singh,2026-04-20,4.9,16-100,true
TC-90065,P-106,S. Fontaine,2026-04-16,10.7,16-100,true
TC-90066,P-106,L. Brooks,2026-04-18,5,07-500,true
TC-90067,P-106,M. Ibrahim,2026-04-12,4.7,09-200,true
TC-90068,P-106,T. Alvarez,2026-04-09,10.8,05-100,true
TC-90069,P-106,M. Ibrahim,2026-04-20,11.1,05-100,true
TC-90070,P-106,S. Fontaine,2026-04-10,6.8,09-200,true
TC-90071,P-107,J. Ng,2026-04-13,10.4,15-400,true
TC-90072,P-107,S. Fontaine,2026-04-13,6.6,06-100,true
TC-90073,P-107,C. Vance,2026-04-14,7.8,01-100,true
TC-90074,P-107,D. Kowalski,2026-04-21,9.8,02-300,true
TC-90075,P-107,T. Alvarez,2026-04-11,4.6,01-100,true
TC-90076,P-107,C. Vance,2026-04-15,11.3,05-100,false
TC-90077,P-107,R. Singh,2026-04-19,7.1,09-200,true
TC-90078,P-107,K. Tanaka,2026-04-17,4.5,22-000,true
TC-90079,P-107,T. Alvarez,2026-04-08,6.4,01-100,true
TC-90080,P-107,P. O'Neill,2026-04-13,11.5,02-300,true
TC-90081,P-108,D. Kowalski,2026-04-21,10.8,07-500,true
TC-90082,P-108,T. Alvarez,2026-04-13,6.1,03-300,true
TC-90083,P-108,J. Ng,2026-04-14,10.3,06-100,false
TC-90084,P-108,C. Vance,2026-04-11,10,15-400,true
TC-90085,P-108,R. Singh,2026-04-14,9.6,02-300,false
TC-90086,P-108,M. Ibrahim,2026-04-10,9.3,02-300,true
TC-90087,P-108,C. Vance,2026-04-11,4.6,07-500,true
TC-90088,P-108,J. Ng,2026-04-08,5.4,09-200,true
TC-90089,P-108,D. Kowalski,2026-04-13,9.3,15-400,false
TC-90090,P-108,D. Kowalski,2026-04-08,7.8,03-300,true
TC-90091,P-108,M. Ibrahim,2026-04-20,10.4,09-200,true
TC-90092,P-108,S. Fontaine,2026-04-18,6.9,02-300,true
TC-90093,P-108,S. Fontaine,2026-04-14,7.6,06-100,true
